month,day,hitemp,yestavg,yesthi,yestlo,yestrain,yestwind,yesthumid
May,1,75.3,52.1,64.9,35.1,0,7.7,34
May,2,77.1,57,75.3,37.7,0,5.4,44
May,3,78.2,60.7,77.1,43.8,0,3.8,57
May,4,77.7,64.4,78.2,51.2,0,3.9,63
May,5,67.4,65.6,77.7,51.5,0,7.4,63
May,6,62.3,64.3,67.4,61.6,0.11,3.3,81
May,7,67.3,58.4,62.3,52.3,0.17,9.4,76
May,8,67.2,56.8,67.3,49.2,0.55,4.7,70
May,9,71.1,56,67.2,44.6,0,2.3,77
May,10,73.5,59.6,71.1,44.8,0,3,72
May,11,78.2,64.4,73.5,54.2,0.04,6.8,68
May,12,78.8,67.2,78.2,57.5,0,7.7,69
May,13,82.4,68,78.8,54.7,0,6.5,67
May,14,82.9,69.7,82.4,57.7,0,5.2,61
May,15,74.6,69.3,82.9,57.2,0,4.6,67
May,16,69.3,66.6,74.6,60.5,0.25,2.7,82
May,17,71,63.9,69.3,61.5,0.79,1.9,90
May,18,68.3,65,71,62,0.61,2.3,88
May,19,70,63.9,68.3,61.9,2.54,2.8,93
May,20,76.2,65,70,61.2,0.16,3.5,87
May,21,74.2,67.4,76.2,58.2,0,4.8,77
May,22,74.6,65,74.2,58.7,0.26,1.6,86
May,23,76.1,65.4,74.6,57.8,0.13,2.3,85
May,24,70.6,67.2,76.1,59,0.01,5,80
May,25,75.6,63.7,70.6,57.9,0,2.2,86
May,26,72.7,66.6,75.6,62,0.01,3.2,83
May,27,75.3,65.6,72.7,63.8,0.83,1.9,90
May,28,65.9,68.2,75.3,62.1,0.33,3.1,84
May,29,67,64,65.9,62.2,0.53,3.9,93
May,30,72,64.8,67,62.9,1.37,4.7,95
May,31,78.4,67.2,72,65.7,1.01,3.7,91
June,1,77.4,68.7,78.4,62.2,0.08,5.8,83
June,2,74.7,68.4,77.4,61.8,0.11,9.7,76
June,3,77.6,66.9,74.7,63.4,0,9.4,85
June,4,70.9,68,77.6,62.6,0.39,8.4,83
June,5,73.5,64,70.9,56.2,0.01,9.6,63
June,6,73.4,63.9,73.5,56.6,0,6,62
June,7,76,65.8,73.4,58.6,0,9.6,67
June,8,79.4,64.8,76,52,0,1.8,78
June,9,78.3,67.3,79.4,56.4,0,2,77
June,10,79.9,68.7,78.3,58.5,0,1.8,76
June,11,78.1,69.1,79.9,59.3,0,4.2,76
June,12,68.7,68.9,78.1,57,0,7.3,77
June,13,76.6,60.6,68.7,56.8,0.02,2.9,92
June,14,78.1,66.5,76.6,58.2,0.52,4.6,86
June,15,80,70.5,78.1,64.3,0,7.1,80
June,16,81.6,70.4,80,60.1,0,4.4,70
June,17,84.3,70.1,81.6,57.1,0,2.2,74
June,18,84.3,70.9,84.3,62.4,0.28,3.6,80
June,19,80.4,73.4,84.3,63.9,0,5.4,73
June,20,79.4,73.2,80.4,66.6,0,8.2,78
June,21,75.6,72.8,79.4,68.3,0,8.3,76
June,22,77.1,69.6,75.6,65.8,0.02,5.7,83
June,23,77.8,70.4,77.1,62.2,0,3.1,78
June,24,80.1,68.9,77.8,62,0.01,6.1,75
June,25,79.1,71.5,80.1,64.5,0.05,9.1,78
June,26,74.5,68.8,79.1,63.4,0.2,5.4,84
June,27,76.1,67.2,74.5,63.4,0.37,3.2,89
June,28,74.4,66.9,76.1,63,0.05,5.4,86
June,29,82.1,68,74.4,64.2,0.01,7.1,87
June,30,84,71.9,82.1,64.3,0,3.2,79
